0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:09 +0900] "GET /Goit/boardCmtList?b_no=25 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:16 +0900] "GET /Goit/boardContentView?b_no=24 HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:16 +0900] "GET /Goit/resources/imgUpload/2023/08/01/509c8921-1a75-4e29-9354-92af5d00288b_main8.gif HTTP/1.1" 200 3478040
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:16 +0900] "GET /Goit/boardCmtList?b_no=24 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:25 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:25 +0900] "GET /Goit/boardCmtList?b_no=24 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:28 +0900] "GET /Goit/boardList HTTP/1.1" 200 27539
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:28 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/boardList?pageNum=2&amount=10&type=&keyword= HTTP/1.1" 200 27523
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_e22fd8d6-fbb7-4559-a101-f2af1330192d_main4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_008e6de7-ab63-4a0e-82ef-3d452d878463_main6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_b64f4fda-c978-4a92-82ee-9d939d693a80_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_64688c5b-f91d-483b-80d7-7076f6ba0fc2_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_7cc66b33-b444-4121-84d5-14f71854ec4b_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_d757764b-ffe0-42f3-a769-798d3d6adb5c_main3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_6cbd227f-a7b1-4d08-9d62-a2f5cf705e9f_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_d966e5fe-daa4-4c54-a452-ff15f2e05a44_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:31 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_9acfe8e4-6b42-409a-a164-e8f5e2205afd_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:33 +0900] "GET /Goit/boardContentView?b_no=23 HTTP/1.1" 200 18115
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:33 +0900] "GET /Goit/resources/imgUpload/2023/08/01/efcc8098-f174-49bb-987a-18eae9eb48f3_main7.gif HTTP/1.1" 200 9469229
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:33 +0900] "GET /Goit/boardCmtList?b_no=23 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:55 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:55 +0900] "GET /Goit/boardCmtList?b_no=23 HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:06 +0900] "GET /Goit/boardContentView?b_no=14 HTTP/1.1" 200 18041
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:06 +0900] "GET /Goit/resources/imgUpload/2023/08/01/d966e5fe-daa4-4c54-a452-ff15f2e05a44_main9.gif HTTP/1.1" 200 2082577
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:06 +0900] "GET /Goit/boardCmtList?b_no=14 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:10 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:10 +0900] "GET /Goit/boardCmtList?b_no=14 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:14 +0900] "POST /Goit/boardCmtDelete HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:14 +0900] "GET /Goit/boardCmtList?b_no=14 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:16 +0900] "GET /Goit/boardList HTTP/1.1" 200 27539
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:16 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
